"","dz2011","simd2020_inc_rate"
"1","S01006506",0.08
"2","S01006507",0.05
"3","S01006508",0.06
"4","S01006509",0.1
"5","S01006510",0.1
"6","S01006511",0.04
"7","S01006512",0.02
"8","S01006513",0.02
"9","S01006514",0.02
"10","S01006515",0.01
"11","S01006516",0.02
"12","S01006517",0.02
"13","S01006518",0.01
"14","S01006519",0.02
"15","S01006520",0.01
"16","S01006521",0.01
"17","S01006522",0
"18","S01006523",0.03
"19","S01006524",0.1
"20","S01006525",0.03
"21","S01006526",0.12
"22","S01006527",0.16
"23","S01006528",0.09
"24","S01006529",0.09
"25","S01006530",0.15
"26","S01006531",0.18
"27","S01006532",0.04
"28","S01006533",0.02
"29","S01006534",0.02
"30","S01006535",0.03
"31","S01006536",0.04
"32","S01006537",0.02
"33","S01006538",0.01
"34","S01006539",0.02
"35","S01006540",0.02
"36","S01006541",0.03
"37","S01006542",0.01
"38","S01006543",0.02
"39","S01006544",0.02
"40","S01006545",0.03
"41","S01006546",0.02
"42","S01006547",0.08
"43","S01006548",0.02
"44","S01006549",0.01
"45","S01006550",0.01
"46","S01006551",0.17
"47","S01006552",0.03
"48","S01006553",0.05
"49","S01006554",0.09
"50","S01006555",0.14
"51","S01006556",0.16
"52","S01006557",0.17
"53","S01006558",0.03
"54","S01006559",0.01
"55","S01006560",0.02
"56","S01006561",0.01
"57","S01006562",0.06
"58","S01006563",0.04
"59","S01006564",0.1
"60","S01006565",0.09
"61","S01006566",0.05
"62","S01006567",0.13
"63","S01006568",0.03
"64","S01006569",0.06
"65","S01006570",0.01
"66","S01006571",0.03
"67","S01006572",0.01
"68","S01006573",0.02
"69","S01006574",0.02
"70","S01006575",0.01
"71","S01006576",0.02
"72","S01006577",0.02
"73","S01006578",0.05
"74","S01006579",0.03
"75","S01006580",0.04
"76","S01006581",0.01
"77","S01006582",0.04
"78","S01006583",0.05
"79","S01006584",0.02
"80","S01006585",0.12
"81","S01006586",0.08
"82","S01006587",0.14
"83","S01006588",0.06
"84","S01006589",0.09
"85","S01006590",0.08
"86","S01006591",0.06
"87","S01006592",0.01
"88","S01006593",0.03
"89","S01006594",0.03
"90","S01006595",0.04
"91","S01006596",0.02
"92","S01006597",0.07
"93","S01006598",0.01
"94","S01006599",0.11
"95","S01006600",0.04
"96","S01006601",0.06
"97","S01006602",0.04
"98","S01006603",0.16
"99","S01006604",0.12
"100","S01006605",0.19
"101","S01006606",0.07
"102","S01006607",0.1
"103","S01006608",0.03
"104","S01006609",0.11
"105","S01006610",0.12
"106","S01006611",0.12
"107","S01006612",0.06
"108","S01006613",0.01
"109","S01006614",0.03
"110","S01006615",0.04
"111","S01006616",0.02
"112","S01006617",0.03
"113","S01006618",0.02
"114","S01006619",0.03
"115","S01006620",0.05
"116","S01006621",0.03
"117","S01006622",0.04
"118","S01006623",0.09
"119","S01006624",0.11
"120","S01006625",0.11
"121","S01006626",0.18
"122","S01006627",0.16
