"","DataZone2011Code","AGE0","AGE1","AGE2","AGE3","AGE4","AGE5","AGE6","AGE7","AGE8","AGE9","AGE10","AGE11","AGE12","AGE13","AGE14","AGE15","AGE16","AGE17","AGE18","AGE19","AGE20","AGE21","AGE22","AGE23","AGE24","AGE25","AGE26","AGE27","AGE28","AGE29","AGE30","AGE31","AGE32","AGE33","AGE34","AGE35","AGE36","AGE37","AGE38","AGE39","AGE40","AGE41","AGE42","AGE43","AGE44","AGE45","AGE46","AGE47","AGE48","AGE49","AGE50","AGE51","AGE52","AGE53","AGE54","AGE55","AGE56","AGE57","AGE58","AGE59","AGE60","AGE61","AGE62","AGE63","AGE64","AGE65","AGE66","AGE67","AGE68","AGE69","AGE70","AGE71","AGE72","AGE73","AGE74","AGE75","AGE76","AGE77","AGE78","AGE79","AGE80","AGE81","AGE82","AGE83","AGE84","AGE85","AGE86","AGE87","AGE88","AGE89","AGE90"
"1","S01006506",6,16,12,15,12,9,12,8,9,8,7,9,5,8,3,4,18,4,4,3,5,14,8,14,7,9,19,10,13,21,21,15,10,13,13,12,7,9,15,20,16,17,11,15,16,11,12,12,14,18,17,11,11,17,10,19,10,11,17,11,9,13,8,4,12,11,14,7,10,12,8,9,1,5,4,7,5,4,3,2,6,4,1,4,3,5,3,0,4,1,4
"2","S01006507",9,9,12,10,9,15,5,13,6,5,8,4,10,10,13,10,12,12,7,9,8,12,13,9,6,10,5,6,4,6,9,10,4,16,11,9,7,8,9,6,10,14,10,6,11,18,12,10,18,13,11,18,7,8,21,9,12,14,21,12,9,13,18,11,15,21,23,14,7,11,11,8,9,9,6,9,6,5,5,9,5,5,3,0,4,3,2,3,0,1,2
"3","S01006508",11,8,10,5,8,3,7,5,7,9,4,3,6,8,3,4,5,3,4,3,6,4,12,11,8,18,15,16,11,8,9,8,17,20,21,6,13,9,14,11,9,18,5,4,9,12,11,16,12,11,13,11,13,8,9,6,15,10,9,8,14,8,4,9,5,7,6,3,3,5,2,5,4,0,3,1,3,4,0,2,5,1,1,1,2,1,0,0,2,0,2
"4","S01006509",6,10,3,7,7,4,8,11,2,6,7,9,6,6,5,5,5,4,2,3,2,5,7,2,10,4,7,4,3,3,10,11,5,12,9,10,11,13,6,6,6,12,11,5,7,3,9,11,8,9,8,6,6,8,7,5,8,12,8,5,7,13,7,14,8,9,14,1,3,5,5,5,3,4,5,4,4,4,1,5,2,3,4,2,8,6,2,0,3,0,6
"5","S01006510",3,4,5,4,5,9,6,6,6,7,5,6,8,13,8,8,9,5,5,9,10,9,6,3,6,7,9,6,7,7,1,4,9,7,9,3,4,10,7,7,12,9,12,11,3,12,8,12,10,7,12,11,7,15,10,12,4,13,6,7,9,8,10,4,9,2,6,4,7,3,13,7,7,7,9,10,6,1,4,3,5,6,3,9,3,3,3,4,3,4,18
"6","S01006511",3,1,3,5,8,3,9,5,7,3,11,8,10,8,9,10,19,10,14,12,5,14,7,6,8,7,8,7,7,4,5,9,2,7,1,7,2,6,8,5,7,14,8,6,9,12,15,12,14,14,11,15,10,5,13,17,15,18,7,11,13,8,11,10,8,9,18,12,13,14,8,4,10,11,15,10,5,13,6,7,8,4,6,5,5,4,3,3,5,4,0
"7","S01006512",6,4,10,4,6,16,10,8,17,10,12,12,18,11,7,15,9,6,16,0,3,4,6,5,4,1,5,0,4,1,4,1,4,4,3,6,8,4,8,6,6,14,9,13,5,7,10,12,11,11,14,12,11,3,11,10,5,6,4,5,9,14,2,5,3,5,4,3,5,5,0,2,2,1,3,3,3,2,1,2,1,2,2,2,1,1,1,1,0,0,0
"8","S01006513",5,2,4,8,3,6,7,5,3,6,5,7,15,9,13,15,8,5,12,4,1,4,1,6,4,2,2,6,4,2,6,5,5,2,10,7,6,2,6,6,4,5,6,7,16,9,5,8,16,13,17,9,6,11,9,5,7,10,10,6,4,13,8,8,9,6,8,4,2,11,8,9,13,7,6,9,9,13,10,9,9,7,3,10,10,7,3,8,6,12,27
"9","S01006514",4,10,9,8,12,16,14,9,14,12,27,11,22,17,21,30,25,16,13,13,12,16,10,15,8,8,12,13,11,12,10,7,11,15,7,8,12,11,9,7,14,13,16,17,24,19,17,13,24,19,13,21,17,19,16,19,13,15,14,11,12,7,9,13,7,8,13,12,8,7,13,12,7,5,7,6,6,4,5,3,7,6,5,8,4,6,5,1,5,4,27
"10","S01006515",4,11,8,5,15,9,16,12,19,11,14,16,17,21,12,18,5,11,8,0,8,8,10,6,7,8,6,5,2,2,6,6,15,6,8,8,13,8,3,7,20,12,22,14,16,13,12,22,16,7,13,7,19,14,10,9,9,12,13,17,6,9,10,16,8,3,5,13,4,6,8,2,5,3,7,3,4,7,4,2,2,2,0,3,2,2,1,1,0,0,2
"11","S01006516",4,2,3,7,4,3,4,5,6,5,6,2,13,8,6,6,10,7,11,8,16,7,14,9,8,7,6,5,2,9,5,9,4,3,1,10,5,3,6,7,8,4,7,6,7,5,10,11,18,7,7,6,5,3,7,13,9,6,4,8,13,9,2,9,4,9,10,6,4,6,6,7,5,3,4,11,5,4,4,2,2,5,3,2,0,2,1,1,0,1,2
